Authors,Link
"Iyengar R., Mahal A.R., Felicia U.-N.I., Aliyu B., Karim A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964680372&partnerID=40&md5=1ddd2f182e3ae83db3f507a56eb0d67a"
"Abrahamson K., Miech E., Davila H.W., Mueller C., Cooke V., Arling G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928946648&partnerID=40&md5=756d5973c4e4b399288ca580508befce"
"Mandinach E.B., Gummer E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929400787&partnerID=40&md5=a2e71c0da110bc606b5417eb8f7757f4"
"Schaaf R.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922634198&partnerID=40&md5=97dcc22b0943fc85ef36115f0c23430e"
"Akanmu S., Jamaludin Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946905010&partnerID=40&md5=3c8e02abec6956a49f83df7149fdcca0"
"Dunn K.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964844346&partnerID=40&md5=083c106966aa4e6f93a97b4ef65e71e9"
"Marsh J.A., Farrell C.C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924761103&partnerID=40&md5=2e818b8080bee814516d1036cd1f81b8"
"Asaduzzaman Md., Shahjahan Md., Ahmed F.J., Murase K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942796705&partnerID=40&md5=cd97cf7ba93584357d2074b545719431"
"Zhang L., Li Q.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938371845&partnerID=40&md5=5683e27620883f349db0beb5939c9eb6"
"Phillips-Wren G., Iyer L.S., Kulkarni U., Ariyachandra T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940369594&partnerID=40&md5=9e8fc416ee3504009673f703981674ae"
"Dubey R., Gunasekaran A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930146370&partnerID=40&md5=36d13d57761364d1985f600994259ba3"
"Vera-Baquero A., Palacios R.C., Stantchev V., Molloy O.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937116958&partnerID=40&md5=5b4136c34327ca9df5fa6b084bbd7549"
"Loebbecke C., Picot A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941599511&partnerID=40&md5=a3943d8f613aa7106688b66afdbb9086"
"Kaivo-Oja J., Virtanen P., Jalonen H., Stenvall J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938717817&partnerID=40&md5=a9e8d089d1ed2f85c42566f836beaa86"
"Werbelow S.E.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926651658&partnerID=40&md5=08b2cd7e8086065d333134de0fc1ca39"
"Babiceanu R.F., Seker R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923170079&partnerID=40&md5=63e631ad0d9b35e6b0193740cacc4018"
"Shao J., He X., Wang J., Bai X., Lei X., Liu C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927136082&partnerID=40&md5=0816218aedf85009386f5df0a5caf7db"
"Neaga I., Liu S., Xu L., Chen H., Hao Y.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929612749&partnerID=40&md5=d88b174555a3a33027255e59d8083258"
"Vera-Baquero A., Colomo-Palacios R., Molloy O., Elbattah M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937143939&partnerID=40&md5=52c60b3460250235da837b418ed7843a"
"Yang H.-S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960117620&partnerID=40&md5=72f5e22523318522ee6d70ae426a877d"
"Nathan M., Rosso A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952717372&partnerID=40&md5=5d31eaa213ffc5f687c7e4071a7412e7"
"Dmitriyev V., Mahmoud T., Marín-Ortega P.M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960389864&partnerID=40&md5=c80449abffc685a46012729e1d0fe511"
"Lytras M.D., Al-Halabi W., Zhang J.X., Haraty R.A., Masud M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953237239&partnerID=40&md5=bcb00a035560cdaa78ccd6755f1129c6"
"Donnelly C., Simmons G., Armstrong G., Fearne A.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930514342&partnerID=40&md5=9f2dd499f5527979061e5e0f739ecc53"
"Marciano G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937459335&partnerID=40&md5=7433045d4f08099ae202a7ed020425e3"
"Gupta B., Goul M., Dinter B.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925934327&partnerID=40&md5=bf84118b6e859bd9fc5570f0912e4af2"
"Kimble C., Milolidakis G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943391185&partnerID=40&md5=28f14abcd5aec1b45a37eaf93204cebc"
"Wu C.-Q., Ren P.-G., Wang X.-F.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921979225&partnerID=40&md5=283a7b0d8c33c3ff0800cf0633e64a54"
"Li Y., Chang Q., Brundage M.P., Biller S., Arinez J., Xiao G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919781079&partnerID=40&md5=eda98cb95f38893ed6e453d9404f8613"
"McPhail D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940852307&partnerID=40&md5=5b89711944eaa7f7801cb07bb494d088"
"Cheng Z., Liu X.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910644229&partnerID=40&md5=a1c3b01166d21eab0cae2b5436d4662b"
"Shankar R., Sundararajan M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938682593&partnerID=40&md5=7fd9bab3f86d4a77a855c87c853e5117"
"Rostami H., Dantan J.-Y., Homri L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947427711&partnerID=40&md5=c48625f7a48713fc363a9393fde009d6"
"Lakshmanan G.T., Shamsi D., Doganata Y.N., Unuvar M., Khalaf R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958044063&partnerID=40&md5=b9d6292130dfc83ba291d393c1729cb6"
"Boland G.W., Thrall J.H., Duszak R., Jr.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920267860&partnerID=40&md5=32a896e2e6af009169658c5e99835d6a"
"Rokhmat R., Purnama Y.I., Sari E.N., Herawan T.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929334868&partnerID=40&md5=eaf460b1fd7630a84e9022a46eecd1e5"
"Lal P.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930811345&partnerID=40&md5=1c954a69327e7ad74fd3f614ed51dad9"
"Alihodzic D., Baehr M., Langebrake C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926365929&partnerID=40&md5=24b576e50ffb6cf9c3fc2e54d5298f12"
"Aho A.-M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938718597&partnerID=40&md5=c0f8ab5545065c60ef8c80d1bc71f6a8"
"Mitri M., Palocsay S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943656019&partnerID=40&md5=1409b9b79e6904e0062e6a58ec3fbca3"
"Sujata J., Jayendran G.S., Rohit D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924917103&partnerID=40&md5=5ef38b32b0f44e5b53dbe5a54b715e05"
"Santiago Rivera D., Shanks G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924258742&partnerID=40&md5=acccca383bd263a9c012df5420a7ccdb"
"Gao Q., She B., Guo W., Zhu J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929761730&partnerID=40&md5=a4e13391ec77776bd7e65f19e967c230"
"Calof J., Richards G., Smith J.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937897720&partnerID=40&md5=59d8348e90fcde2ce428a24466d85a73"
"Baur A.W., Bühler J., Bick M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937836198&partnerID=40&md5=edf7d2640522558aff73406f4a9a77f2"
"Winterboer L.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947063006&partnerID=40&md5=84b2e3bbe20354bd60e7816157660245"
"Cosic R., Shanks G., Maynard S.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960106494&partnerID=40&md5=89983b96684975414b7a61d83f6e6b01"
"Sekiguchi A., Sakaida D., Tsuda K.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964999921&partnerID=40&md5=db60253b9710c3f19450c0b8601d2efd"
"Foshay N., Yeoh W., Boo Y.-L., Ong K.-L., Mattie D.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960077087&partnerID=40&md5=fe899664b695fa5cd88ea33f93c3b339"
"Jamehshooran B.G., Shaharoun A.M., Haron H.N.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930700686&partnerID=40&md5=6b943f0769b279ce750832316dd29438"
"Li C., Guo L., Li Z.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929170930&partnerID=40&md5=8e3a9d21b2b8ad57002a5aa613a62350"
"Chien C.-F., Chuang S.-C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910637207&partnerID=40&md5=3a072011f52398a6c11553907f066e92"
"Cunningham S.W., Thissen W.A.H.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84915819430&partnerID=40&md5=dacd86f0a0bedd626625c9e7f4012901"
"Fisher D., Drucker S., Czerwinski M.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907454836&partnerID=40&md5=04a894a30cd941ffaf9510bb527f514b"
"Lee R.R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904282312&partnerID=40&md5=a5066f793fa265cf5a5f6687367601a9"
"Friske R.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900037392&partnerID=40&md5=3d6947bb25988d939983429b4edbeeb5"
"Goksu C.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900009476&partnerID=40&md5=a952a96058b3c0146072fbe3bc0d3d1d"
"Reichert J., Furlong G.","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894638211&partnerID=40&md5=d80d20264521672a82016e357b1f54cd"
