Title,Link
"Optimal processing pathway selection for microalgae-based biorefinery under uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941283807&partnerID=40&md5=fd2f7265a95ea4ed36c1d98951858648"
"Robust decision making for UAV air-to-ground attack under severe uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946563494&partnerID=40&md5=2ab285430d11a3ff467df5bf02bef772"
"Assessing uncertainties in surface water security: An empirical multimodel approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956789526&partnerID=40&md5=a07cd181dc21a059669e6ba6093bbddc"
"Interactive design of probability density functions for shape grammars","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995755407&partnerID=40&md5=98af5b7b7e86f965b5039913b30b1049"
"A working typology of response options to manage environmental change and their scope for complementarity using an Ecosystem Approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929582555&partnerID=40&md5=1b06fcf3223c9df52680cb9735f5c0bb"
"The future of rail automation: A scenario-based technology roadmap for the rail automation market","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954305975&partnerID=40&md5=979e1017b1c42bb298ad6a3236591938"
"Coping with uncertainties-examples of modeling approaches at IIASA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941170354&partnerID=40&md5=dac93c4f4c6bc0194f07944dd0769d16"
"OPTIMAL POLICIES in TWO-STEP BINARY GAMES under SOCIAL PRESSURE and LIMITED RESOURCES","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955170921&partnerID=40&md5=0f921b9dd830ca4537713842d89ac2f1"
"Public values for energy system change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938569181&partnerID=40&md5=36ee35026b4ccf33e2522c2e5ceccd98"
"The effect of near-term policy choices on long-term greenhouse gas transformation pathways","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938059213&partnerID=40&md5=ab2bc4569352e5e1c0ea688ae3c98c60"
"Thermodynamic analysis and performance optimization of irreversible Carnot refrigerator by using multi-objective evolutionary algorithms (MOEAs)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937828100&partnerID=40&md5=8533e49bee68c8d27e03e9bd8bdf2db3"
"An Integrated Environmental Assessment of Green and Gray Infrastructure Strategies for Robust Decision Making","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937510436&partnerID=40&md5=27e1b068a934553e418c7b331816ebcc"
"A framework for the cross-sectoral integration of multi-model impact projections: Land use decisions under climate impacts uncertainties","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937116207&partnerID=40&md5=319cc7d9e26a1181fd758682af8efc78"
"Developing key indicators for adaptive water planning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931031051&partnerID=40&md5=30a72b2c887b47e735c7989bdd2f6131"
"A robust decision-making approach for p-hub median location problems based on two-stage stochastic programming and mean-variance theory: a real case study","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939971051&partnerID=40&md5=eaf74e614e6c491a61f0c8a747994ecc"
"Objective reduction of rain gauge network via geostatistical analysis of uncertainty in radar-gauge precipitation estimation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925340714&partnerID=40&md5=b05548783051bfbe949133850897ff83"
"What can exploratory modelling tell us about the ecobiology of European sea bass (Dicentrarchus labrax): A comprehensive overview","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963594613&partnerID=40&md5=1cf9874aa4091e05f4bcd10cabb47693"
"Evaluating simulation-derived scenarios for effective decision support","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920189724&partnerID=40&md5=0d8835a00f79c78cea52f13180dac6f1"
"Procedia CIRP","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948447379&partnerID=40&md5=1a90d713db4fde68d02da90413d4e465"
"Societal Ageing in the Netherlands: A Robust System Dynamics Approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935139870&partnerID=40&md5=afbe01cb982b08ae582534941664a5a1"
"Risk-sensitive and robust decision-making: A CVaR optimization approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965147247&partnerID=40&md5=b07f388a4ffdd6ad48b1d6546f891a54"
"Conception of a Simulation Model for Business Continuity Management Against Food Supply Chain Disruptions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946067358&partnerID=40&md5=45680d11c67aec130af6ad85b269d885"
"From building a model to adaptive robust decision making using systems modeling","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944524446&partnerID=40&md5=710f23c02d715dbb3538b38532144345"
"How should robustness be defined for water systems planning under change?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939499206&partnerID=40&md5=e3b034b3354a8af8acabc189dda3be1b"
"Many-objective robust decision making for managing an ecosystem with a deeply uncertain threshold response","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939545496&partnerID=40&md5=57d63ab39323aaffc6f38e01da4a1147"
"Multi criteria decision support system: Preference information and robustness","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926387585&partnerID=40&md5=347ec641608b4fb4a723a03604a03286"
"Efficient sensitivity based assessment of impact of uncertainties in multi-objective framework","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907783083&partnerID=40&md5=0bae1b585b7ed1cdf60be2f6f0b2d5aa"
"Functional characteristics of additional positive feedback in genetic circuits","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921966538&partnerID=40&md5=cb252413f7078340d0ef4fe415dbbb77"
"FACE-IT: A science gateway for food security research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944874118&partnerID=40&md5=ab05651c676fa75a02a43086647cda67"
"Risk assessment under deep uncertainty: A methodological comparison","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958983941&partnerID=40&md5=ca3b65f1a7eeedb701c87d63489ddf2e"
"Robust decision making over a set of random targets or risk-averse utilities with an application to portfolio optimization","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922684275&partnerID=40&md5=c5871778dccce209e5006645d1fc7155"
"Intention-aware online POMDP planning for autonomous driving in a crowd","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938236112&partnerID=40&md5=ae1ea0c7b082109dab325c4ffb30b135"
"Assessing the long-term performance of cross-sectoral strategies for national infrastructure","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912558988&partnerID=40&md5=a344559702d00aed22aa1a231de62c40"
"Adaptation as climate risk management: Methods and approaches","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944519930&partnerID=40&md5=feddf114f20f6be3a47e1018256ba22d"
"A Social Values Typology for Comprehensive Assessment of Coastal Zone Ecosystem Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947041776&partnerID=40&md5=f993f594c8b33efc21799475ac4bbc14"
"Synthesis of Optimal Processing Pathway for Microalgae-based Biorefinery under Uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940544036&partnerID=40&md5=4bb36bf79aa18b9a27756fc7ee145150"
"Effective and scalable uncertainty evaluation for large-scale complex system applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940514818&partnerID=40&md5=0d9d8d403f89b42bd290ecc36eedeea9"
"An integrated systematic analysis of uncertainties in UK energy transition pathways","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945537843&partnerID=40&md5=669a10d9ec56221d4700898882512c3f"
"Development of urban solar infrastructure to support low-carbon mobility","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940051202&partnerID=40&md5=b68022c3fd1fb2a49f81bb19b435bb54"
"Robust decision making applied to the NASA Multidisciplinary Uncertainty Quantification Challenge problem","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922422529&partnerID=40&md5=1b19e721c83d2d08d00394f45af70536"
"Robust Decision Making for Agile Systems Development Part 1: Exploring the Paradigm","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948461462&partnerID=40&md5=19f7febb908f323494762ced324de0a0"
"Robust Decision Making for Agile Systems Development Part 2: A Decomposition and Analysis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948451855&partnerID=40&md5=e008b75ec6a206edd5a4352d78142df3"
"Information fusion method for fault diagnosis based onevidential reasoning rule","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947571814&partnerID=40&md5=77f613bdabc4325f269af6299d3fcd46"
"Assessment of storm surge damage to coastal settlements in Southeast Florida","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937636330&partnerID=40&md5=dd9043c70902218556417e36775cce54"
"Regret-based TMDL optimization under climate change with charged system search algorithm","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935053870&partnerID=40&md5=464bb12f8fc8f4029d8742e2c6c18a38"
"Decision support model for automated railway level crossing system using fuzzy logic control","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938930709&partnerID=40&md5=42862c36e62302c3aa6f04c03ba640fc"
"Thought-based row-column scanning communication board for individuals with cerebral palsy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923320918&partnerID=40&md5=2eb463c9f5d80165e27101dc77fea271"
"Integrated reservoir modeling and uncertainty assessment of a reservoir complex in the Niger delta","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958559452&partnerID=40&md5=7327e384a297478e6acab0393a1bdc1b"
"Overview on dynamic approaches to risk management in process facilities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946059614&partnerID=40&md5=3182de082612c84b2a977b7f162590d6"
"Electric vehicle cost, emissions, and water footprint in the United States: Development of a regional optimization model","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942015585&partnerID=40&md5=41b8eb01a61bd91507e5802911829d64"
"Ebola in West Africa: Model-Based Exploration of Social Psychological Effects and Interventions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923841945&partnerID=40&md5=24537ccf579f769499a28ad88734cee3"
"A model-based analysis of biomethane production in the Netherlands and the effectiveness of the subsidization policy under uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932600124&partnerID=40&md5=96ff82b9a39766cfe9c3a41e1bd59254"
"Can we model the implementation of water sensitive urban design in evolving cities?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923511359&partnerID=40&md5=9553bad84a1a994771c627be50d5f9a4"
"A Review of modeling pedagogies: Pedagogical functions, discursive acts, and technology in modeling instruction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922990374&partnerID=40&md5=acd1b151587e3295589cdbd09fd5cff0"
"Optimal frequency of psychosocial distress screening in radiation oncology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937677686&partnerID=40&md5=f353e43abb1113289f4cf9f25cef3371"
"Exploring critical pathways for urban water management to identify robust strategies under deep uncertainties","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907663311&partnerID=40&md5=ee303e0fb622797ae8a2e877404852d2"
"Applying Adverse Outcome Pathways (AOPs) to support Integrated Approaches to Testing and Assessment (IATA)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922433050&partnerID=40&md5=4273b7b1f0f5a4f7d5916828cf3bc5de"
"A stochastic optimization approach for the selection of reflective cracking mitigation techniques","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907954728&partnerID=40&md5=7de6011eb7a0d3f79c4d661a71b6b65f"
"The use of new economic decision support tools for adaptation assessment: A review of methods and applications, towards guidance on applicability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942363035&partnerID=40&md5=53b1ba1f7e464fbc6372032fe1e892e1"
"Overview of the co-ordinated risk-based approach to science and management response and recovery for the 2012 eruptions of Tongariro volcano, New Zealand","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910594225&partnerID=40&md5=f89f50b6bb6667f9433675dcb7b7868a"
"Challenges in using a Robust Decision Making approach to guide climate change adaptation in South Africa","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942364143&partnerID=40&md5=5ab0880789dd936a41e867a5a3892b69"
"Applying Adverse Outcome Pathways (AOPs) to support Integrated Approaches to Testing and Assessment (IATA)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908424259&partnerID=40&md5=7dc8307958559899c886f2b85be91159"
"Reconceptualising adaptation to climate change as part of pathways of change and response","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922465409&partnerID=40&md5=c3a70f76df23d0259bd74a370c7ed6a4"
"Exploratory modeling: Extracting causality from complexity","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905983125&partnerID=40&md5=93006c7ce2b5241a28b16df166aabba8"
"Robust process capability performance: An interpretation of key indices from a nonparametric viewpoint","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927511422&partnerID=40&md5=ab9c52996b034d7ca099948a562b58b2"
"A robotic approach to understanding the role and the mechanism of vicarious trial-and-error in a T-maze task","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904658611&partnerID=40&md5=8ef413e4f576335dc786060f0f3f7a38"
"Pediatric advanced appendicitis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953249929&partnerID=40&md5=b147f66516b395715a81f0de15c5d4ce"
"Recent advances in robust optimization: An overview","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894435128&partnerID=40&md5=1e0696b725ac74314bb0edeb985fa86c"
"Natural disasters and climate change: An economic perspective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930334579&partnerID=40&md5=936efa738089a3f0650739682d4fd52f"
