document id	author id	frequency
231	18816	2
231	19017	4
231	20719	1
231	22671	2
231	25044	2
232	1021	1
232	1313	3
232	1769	2
232	1984	1
232	2811	1
232	3075	1
232	4565	1
232	7318	1
232	7703	2
232	9009	2
232	9377	2
232	10390	1
232	13165	5
232	13806	5
232	15055	3
232	17024	2
232	18816	3
232	19017	4
232	20225	2
232	21880	1
232	22671	1
232	25044	4
232	26060	1
233	1313	1
233	1768	3
233	4587	6
233	9009	1
233	9281	1
233	10815	1
233	11727	1
233	12094	2
233	13296	1
233	13806	1
233	15055	1
233	17837	1
233	18816	1
233	19549	1
233	20164	1
233	20603	1
233	21909	1
233	23272	1
233	24064	1
233	25044	1
233	26060	1
234	1768	2
234	4587	4
234	14277	1
234	19549	1
234	20225	1
234	24252	1
234	24973	1
234	26060	1
236	1768	1
236	14277	1
236	20807	1
236	21909	1
237	1313	6
237	1769	2
237	1984	1
237	3075	2
237	4565	1
237	5304	1
237	5710	3
237	9009	3
237	9210	9
237	9219	1
237	9327	3
237	9377	1
237	10390	1
237	10815	2
237	12129	2
237	13165	14
237	13806	11
237	15055	9
237	15971	5
237	16446	1
237	17024	2
237	18816	3
237	19017	3
237	20164	2
237	20225	5
237	20988	1
237	21880	1
237	21909	1
237	24252	5
237	25017	1
237	25044	20
237	25156	1
237	25685	1
237	26060	1
238	1313	1
238	1768	1
238	3075	1
238	4565	1
238	5710	1
238	7318	1
238	7703	1
238	9009	3
238	9219	1
238	9327	2
238	10815	1
238	12129	1
238	13806	6
238	18816	1
238	20807	1
238	25685	1
242	1313	2
242	6186	4
242	8298	2
242	12552	4
242	13806	1
242	14277	2
242	18490	4
242	18816	1
244	1768	2
246	1768	1
246	3600	12
246	7433	8
246	10390	12
246	12094	2
246	13806	1
246	13884	1
246	14206	3
246	18850	9
249	1313	1
249	6186	3
249	12552	3
249	14277	1
249	18490	2
249	20460	1
250	1313	2
250	11727	2
250	13806	2
250	16860	1
250	18816	1
250	20719	1
250	24064	1
253	3600	1
253	5710	3
253	7433	1
253	9327	1
253	9990	1
253	10815	1
253	16446	3
253	20225	1
253	25044	1
254	1313	2
254	2983	1
254	3931	2
254	9009	1
254	11953	2
254	13806	3
254	18816	2
254	19534	2
257	1313	3
257	1768	2
257	9009	2
257	9990	1
257	12094	3
257	12641	1
257	13806	7
257	16446	4
257	16860	1
257	18816	2
257	19549	1
257	20164	1
257	20719	1
257	20988	2
257	26060	1
258	21909	1
260	8298	5
260	11727	1
260	21909	1
260	24064	1
261	1313	2
261	2811	1
261	3075	1
261	7703	1
261	8298	1
261	9009	2
261	13806	4
261	16860	1
261	18816	1
261	21909	1
261	24462	1
264	1313	2
264	7318	1
264	7703	1
264	13165	1
264	13806	1
264	18816	1
264	22671	1
265	20460	2
266	8298	1
266	13806	1
266	17837	1
266	21909	1
266	25156	1
267	1313	1
270	1313	2
270	9210	2
270	13165	4
270	13806	1
270	15055	2
270	15971	2
270	18816	1
270	25044	3
270	26060	2
272	2811	3
272	7703	1
276	1313	2
276	1768	2
276	1769	1
276	3075	1
276	4565	1
276	7318	1
276	7703	1
276	9009	5
276	9327	1
276	9990	1
276	12129	3
276	12641	2
276	13806	11
276	16446	1
276	16860	1
276	17024	1
276	18816	4
276	20164	1
276	20719	1
276	20807	1
278	4565	1
278	5710	2
278	9009	2
278	9338	2
278	10815	1
278	12641	1
278	13806	3
278	13884	1
279	1768	1
279	1769	2
279	1984	3
279	4565	1
279	13806	3
279	15055	2
279	17024	1
279	25044	2
280	1313	1
280	1768	10
280	13806	1
280	18816	1
280	20164	1
280	21909	1
280	24064	1
280	25017	1
281	4565	1
281	7433	1
283	20807	1
283	25017	1
285	10390	1
286	1313	1
286	13165	1
286	13806	1
286	15055	1
286	18816	1
286	25044	1
287	1313	1
287	4565	1
287	5710	2
287	9009	3
287	9327	1
287	9338	2
287	10815	2
287	12641	1
287	13806	4
287	16446	2
287	18816	1
287	19354	1
287	20807	1
287	24064	1
287	26286	1
288	1313	2
288	1768	1
288	5710	1
288	10815	1
288	13165	4
288	13806	2
288	15055	4
288	17837	1
288	18816	1
288	25044	7
288	26060	2
290	1313	1
290	3931	3
290	9009	2
290	11953	2
290	12736	6
290	13806	3
290	13884	1
290	18816	1
290	19534	12
290	20603	5
290	20807	1
290	23272	2
290	24973	3
291	4565	1
291	9281	8
291	12094	2
291	13296	14
291	13806	1
291	14206	7
291	16446	2
291	26060	1
292	20460	2
293	20460	1
293	25156	2
296	17837	2
297	1037	9
297	2015	5
297	5448	36
297	9948	15
297	9990	8
297	20603	7
297	20807	1
297	23272	10
302	1313	2
302	6186	3
302	12552	3
302	13806	1
302	14277	1
302	18490	3
302	18816	1
306	4587	2
307	1313	1
307	5710	2
307	9009	1
307	9281	1
307	10815	1
307	13806	2
307	13884	1
307	18816	1
308	1769	3
308	1984	1
308	9281	7
308	13109	1
308	13296	2
308	17024	3
310	20460	1
316	1984	1
316	20164	1
318	1313	2
318	1768	1
318	2015	1
318	9377	2
318	13165	1
318	13806	1
318	15055	1
318	18816	1
318	19017	4
318	25044	1
320	11727	1
320	24064	1
322	1313	3
322	4565	1
322	7318	1
322	7703	1
322	9009	2
322	13806	5
322	16860	1
322	18816	2
322	24462	1
324	1768	2
324	18850	6
324	19549	1
325	9990	1
325	13806	1
327	1313	2
327	6186	2
327	8298	2
327	12552	4
327	13806	1
327	14277	1
327	18490	1
327	18816	1
331	12290	4
331	20460	5
332	1313	2
332	13806	2
332	18816	1
334	1313	1
334	13806	1
334	18816	1
335	2015	1
335	5710	3
335	9134	1
335	9338	1
335	10815	1
335	13806	2
335	13884	1
335	20988	1
335	24973	1
335	25044	1
335	25685	5
337	5304	3
339	1313	2
339	6186	5
339	8298	2
339	12552	5
339	13806	1
339	14277	1
339	18490	5
339	18816	1
340	1313	1
340	3075	1
340	4565	1
340	7318	1
340	7703	1
340	9009	2
340	13806	6
340	18816	2
340	20807	1
341	1768	1
341	5710	2
341	9327	2
341	13806	1
341	19354	1
341	20988	1
341	25685	1
345	13806	1
345	13884	1
345	18816	1
346	20460	4
348	9948	1
349	4587	3
349	9948	1
349	12094	1
349	12290	1
349	26060	3
352	1313	3
352	13806	1
352	13884	2
352	17837	1
352	18816	1
352	22671	1
353	22742	2
354	1769	1
354	1984	1
354	17024	1
354	20397	3
354	21880	1
357	1313	3
357	2983	1
357	3075	2
357	4565	1
357	5710	1
357	7318	1
357	7703	1
357	9009	6
357	9990	1
357	10815	1
357	12641	2
357	13806	12
357	13884	1
357	16860	1
357	18816	2
357	20164	2
357	20603	1
357	20719	1
357	21909	1
357	26286	4
